year,group,mean,sd,n
1972,Conservative - In Group,76.62083333333334,16.901449002442003,247
1972,Conservative - Out Group,37.347639484978544,21.763307581890018,247
1972,Liberal - In Group,76.1256830601093,16.64927634133706,188
1972,Liberal - Out Group,45.361111111111114,22.725164819577675,188
1974,Conservative - In Group,77.52537313432836,15.78478978996978,210
1974,Conservative - Out Group,38.017910447761196,22.951259357029823,210
1974,Liberal - In Group,72.8284789644013,17.74312989361885,177
1974,Liberal - Out Group,49.86229508196721,22.54471992030129,177
1976,Conservative - In Group,70.77830940988835,17.829632982644714,308
1976,Conservative - Out Group,37.28452579034942,21.110917254094787,308
1976,Liberal - In Group,70.07142857142857,17.848438844151687,176
1976,Liberal - Out Group,47.51187335092348,20.260901926227895,176
1978,Conservative - In Group,NaN,NA,311
1978,Conservative - Out Group,NaN,NA,311
1978,Liberal - In Group,NaN,NA,217
1978,Liberal - Out Group,NaN,NA,217
1980,Conservative - In Group,75.22842639593908,16.68353716413443,232
1980,Conservative - Out Group,34.69387755102041,23.033490962360318,232
1980,Liberal - In Group,74.7128712871287,16.11107484537476,118
1980,Liberal - Out Group,43.722772277227726,21.08132766781124,118
1982,Conservative - In Group,71.34693877551021,19.324809106200874,201
1982,Conservative - Out Group,32.010471204188484,22.737168626397153,201
1982,Liberal - In Group,68.69791666666667,22.337657508844927,100
1982,Liberal - Out Group,39.38947368421053,20.573839377746715,100
1984,Conservative - In Group,73.67114093959732,15.703671299940261,324
1984,Conservative - Out Group,42.82876712328767,21.54268824987942,324
1984,Liberal - In Group,69.86144578313252,20.295366429387357,197
1984,Liberal - Out Group,47.126506024096386,23.293430387843195,197
1986,Conservative - In Group,73.16556291390728,18.674135279032782,315
1986,Conservative - Out Group,35.333333333333336,25.248762345905195,315
1986,Liberal - In Group,73.46153846153847,20.526784024907563,154
1986,Liberal - Out Group,41.6875,23.61712924354469,154
1988,Conservative - In Group,73.88339222614842,18.550597086934516,337
1988,Conservative - Out Group,37.163120567375884,20.539736373638757,337
1988,Liberal - In Group,66.2936507936508,21.24902537447493,147
1988,Liberal - Out Group,46.301587301587304,19.99890790669124,147
1990,Conservative - In Group,74.52,18.445402059669426,234
1990,Conservative - Out Group,38.65765765765766,26.695363874784668,234
1990,Liberal - In Group,77.8622754491018,16.206839314754532,169
1990,Liberal - Out Group,44.58083832335329,23.12676677492241,169
1992,Conservative - In Group,70.70482772249571,17.72909468721821,377
1992,Conservative - Out Group,34.24189681421612,22.539600742270984,377
1992,Liberal - In Group,70.28853351700631,14.768062407227657,260
1992,Liberal - Out Group,40.63698294303207,18.09348956850693,260
1994,Conservative - In Group,76.9633266329013,16.946932649158423,380
1994,Conservative - Out Group,31.09388734843834,23.36917489388533,380
1994,Liberal - In Group,73.77782101260392,16.243015475549598,140
1994,Liberal - Out Group,46.69621275758025,23.03056923814486,140
1996,Conservative - In Group,74.68447137030007,15.570297846410728,322
1996,Conservative - Out Group,33.25698605953771,20.658976412229592,322
1996,Liberal - In Group,71.51688107400295,14.842586802744137,154
1996,Liberal - Out Group,42.99807049532798,17.916741516625574,154
1998,Conservative - In Group,72.05967661604599,18.471076195718858,198
1998,Conservative - Out Group,37.97415300690513,23.93835255230416,198
1998,Liberal - In Group,70.48739865565898,17.55740468421967,121
1998,Liberal - Out Group,35.40351483872359,23.139757038208913,121
2000,Conservative - In Group,72.9084590651262,17.77426920496922,166
2000,Conservative - Out Group,40.00599372179713,21.91756019759992,166
2000,Liberal - In Group,66.36432538832989,22.892054645317312,94
2000,Liberal - Out Group,43.80703458709065,21.089676438228505,94
2002,Conservative - In Group,71.86978639038912,17.16740198594516,380
2002,Conservative - Out Group,40.0581415111559,21.69249465214253,380
2002,Liberal - In Group,65.64876950830377,16.967404922221892,204
2002,Liberal - Out Group,43.767130282001546,20.811585548036838,204
2004,Conservative - In Group,77.72522423810494,15.880541199375,237
2004,Conservative - Out Group,39.68745142030449,22.79001249203341,237
2004,Liberal - In Group,72.92521477021353,18.635654766261624,139
2004,Liberal - Out Group,42.828996239421144,21.442134529283994,139
2008,Conservative - In Group,76.13459786376295,17.31911616875326,386
2008,Conservative - Out Group,39.2987726996668,22.63457412215289,386
2008,Liberal - In Group,72.23707933547682,18.4324250002231,300
2008,Liberal - Out Group,45.779196582026366,21.15804815771609,300
